ulasan,rating,sentimen
kenapa ini gabisa buka aplikasinya? saya baru download malah gabisa dibuka ish.,1,negatif
Mantap,5,positif
jelekkk abiss udh bayar mahal mahal tau taunya pas di putar di HP ga HD sama sekali gegara HP nya ga mendukung 🥱🥱🥱🥱🥱🥱🥱🥱,1,negatif
Beli netflix di toko onlen macam shoope atau tokped cuma 10k perbulan. Gk perlu bayar mahal langsung dari netflix nya,5,positif
"Susah daftar, gak masuk masuk terus",1,negatif
Berulang² gak bisa terdaftar🤨🤨,1,negatif
Ok,5,positif
Aplikasi tidak dapat terbuka. Sudah berulang kali me-refresh app tapi tetap stuck di awal.,1,negatif
Sangat buruk harus bayar baru bisa buka app nya .,1,negatif
Ini yang kasi rating ada masalah apa ya 😂,5,positif
Tolong tambahin metode pembayaranya seperti gojek google voucher. Atau apapun lah. Jgn menyulitkan yg tidak punya credit card,1,negatif
Mohon pembayarannya dapat menggunakan pemotongan pulsa spt aplikasi sejenis lainnya.,2,negatif
Wow game yang benar benar menghasilkan uang,5,positif
Sumpah jelek banget cara loginnya sj. Susah masuk kode otp nya di wa padahal jaringan akubagus kedua hanya gambar video yang ngak bisa di buka,3,negatif
"udah berlangganan tapi sering susah login, hadeh",5,positif
Ok,5,positif
Susah daftarinnya .email selalu gagal,1,negatif
"Padahal sinyal bagus,tapi app tetap tidak bisa dibuka",1,negatif
"Ga ada TV jadi nonton via Hp tapi puas, tetep seru dan kualitas gambar suara pas pertahankan develop 👍👍",5,positif
sudah 1 thun setengah smpai sekrang I LIKE THIS NETFLIX,5,positif
Bagus,5,positif
Tidak bisa masuk padahal udah bener masukan sandinya yg paling bener tapi tetap tidak bisa,1,negatif
Boikot,1,negatif
"Kepada Netflix, mohon dong pembayarannya lebih dimurahin lagi per bulannya. Lalu tolong tambahkan metode pembayaran google pay nya... Thanks",1,negatif
Satisfied,5,positif
LOVEUUU 3000🖤🖤🖤🌼,5,positif
"Gws semua apk yg seperti nonton film, drama,animasi bayar semua njir",1,negatif
gak bisa di buka,1,negatif
Menghibur,5,positif
Ga bisa masuk emang kalo pke telkom? Atau semua gitu?,1,negatif
Gud,5,positif
Super jelek,1,negatif
Seru😃🤩,5,positif
Gmna sih daftar nya keluar terus padahal udah bner,2,negatif
kaga bisa login² nying,1,negatif
baik,5,positif
"Saya suka banget dengan aplikasi ini, banyak film yang terbaru",5,positif
Mending ini Drpd yg Laen lebih mengecewakan,5,positif
Mnyap,1,negatif
llove you,5,positif
Oke,5,positif
Ok punya....semoga kedepannya harga langganannya lebih murah dan lebih bersahabat lagi...😍😍,5,positif
the best dah👍😀,5,positif
M.E.N.Y.U.S.A.H.K.A.N_ O R.A.N.G. UNINSTAL,1,negatif
Nyesal download apl ini😡😡,1,negatif
mau masuk aja gak bisa padahal udah pakai banyak email.alasan nya tidak dapat menemukan email.,1,negatif
Gw g sk bngt am film terbaru ada lafaz allah,1,negatif
Verygoods,5,positif
"Aplikasi nonton streaming terbaik, fitur lengkap dan beragam film menarik yang disajikan.",5,positif
"Please kepada developer Netflix permudah user user baru dalam berlangganan , permudah payment nya lahh dengan bisa bayar melalui Alfamart atau indomaret , atau bahkan pakai gopay, ovo , Link Aja , & Dana Dear Developer Netflix🙏",5,positif
Kontoll,1,negatif
Aplikasi yang sangat bagus,3,negatif
masa setiap saya keluar dr netflix pas mau masuk netflix malah keluar lagi? trs trpaksa saya instal dan uninstal ulang,1,negatif
Jelek.,1,negatif
Apaan banget ini,1,negatif
Ok,4,positif
Kenapa aplikasinya ngga bisa dibuka ya ?,1,negatif
Mantap,5,positif
Mantap sekali,4,positif
kok gk bisa yg 18+ ada suara doang gak ada gambarx gmn carax,2,negatif
No coment,5,positif
Kenapa setiap saya install selalu bilangnya tidak dapat menjangkau layanan ini. Atau netdliz mengalami kesalahan kode nw-2.5 trua min? Dr dlu sll gini tiap install. Padahal saya mau bgt nonton kingdom dan hyena serta love alarm 2,1,negatif
User experience wow,5,positif
Aplikasi nya harus bayar ya?,2,negatif
Best Topbgt,5,positif
Ga bsa buka,1,negatif
Apk pelit berbayar semuanya,1,negatif
"Di tingkat kan lagi ya...... "".",5,positif
Okey dan lancar ditonton,5,positif
pendaftaran nya belibet susah ngulang² mulu padahal tinggal bayar diaplikasinya apa susahnya sih min,1,negatif
Gabut min,1,negatif
Baik sekali,5,positif
Aplikasi goblok... baru instal langsung gue Uninstal,5,positif
Saya tidak ada niatan menghina namun tolong hapus film the umbrella 3 karna itu termasuk menghina tuhan agama islam,1,negatif
kadang2 nonton,1,negatif
"Sign in nya susah padahal apk bagus tapi di perumit sama kartu kredit padahal ga semua punya kartu kredit, sangat di sayangkan yg tadinya udah install jadi uninstall kayak aku maaf yaa min:((",1,negatif
Harus bayar,1,negatif
pelit gak ada trail nya,1,negatif
🗿,1,negatif
Pelitttt,1,negatif
Kemarin sempat memberi ulasan negatif. Tapi hari ini saya ubah karena Netflix sudah berubah ga kyk waktu itu. Skr ud lancar nontonnya. Cuma perbanyak lagi ya film2 horrornya dan kalo bisa film2 barunya. Ada Netflix lebih terbantu disaat pandemi seprti ini. Semoga Netflix bisa perbanyak lagi koleksi movienya,5,positif
Bgus,5,positif
Pembayaran ribet mending Disney hotstar,1,negatif
Ok,5,positif
mantap,5,positif
"Ayo lah mayoritas,kalau lu GK senang gegara film the umbrella acedemy3 GK usah di tonton,jgn merusak rating Kebiasaan Mayoritas hadeh💥",5,positif
jangan mau download apk nya jelek banget!,1,negatif
"Saran buat netflix kalo mau tayangin film jangan nanggung"" ya kalo ada film movie jangan langsung loncat"" (ke 3-4) contoh kaya expendables loncat ke 2&3 yg ke 1 mana, terus transformer longkap"". Terakhir untuk anime tolong tayangin yang animenya seru lah yang bagus"" banyak loh, naruto aja cuma ada pas kecil doang yg Shippuden gak ada sama boruto kalo bisa.itu doang sih yg jadi pertanyaan kanapa kalo nayangin film nanggung?🤔app sebesar ini lho!!!!",4,positif
kenapa gabisa di buka pas udh di download? tolong dibantu,1,negatif
MENDING DOWNLOAD YANG APK MOD NYA LEBIH GACORRR🔥,1,negatif
Mending Disney+hotstar gak pake ribet..,1,negatif
ribet,1,negatif
Applikasi gak jelas....,1,negatif
Tolong tolong kasih keringanan,1,negatif
Best thing,5,positif
Assalamu'alaikum mohon dari pihak Netflix tambahkan dong pembayaran pulsa Telkomsel udah itu aja permintaan saya,1,negatif
"Stuck di tulisan NETFLIX,, udah aku uninstal cape nungguin!",1,negatif
Nga tau,5,positif
Ok,5,positif
Mau bayar aja susah nya minta ampun,1,negatif
mantap,5,positif
"bagus, tapi sering sekali grafik nya nurun tb tb pdhl saya sudah pakai yang 720 biasanya emang bagus tapi suka kesel kalo lagi nonton tb tb jadi burik kualitas ny pdhl wifi aman aman saja",4,positif
"Ini kenapa aplikasi ada tulisan tidak dapat menjangkau layanan Netflix ya?? Ini udah 3 hari kaya gini terus, kacau lah parah bgt",1,negatif
app tolol gk ada toleran samsek,1,negatif
Mantul,5,positif
"aplikasi netflix adalah sebuah aplikasi hiburan yg sangat memudahkan kita untuk menemukan film hiburan, yg bertema sedi, senang maupun fim anak sekalipun",5,positif
Gak ada gratisannya😅,1,negatif
knp harus bayaaarrr 😔😔😔,3,negatif
BOIKOT UMBRELLA,1,negatif
baagus,5,positif
baik,5,positif
Tolong diboikot film the Umbrella academy #boikotumbrella,1,negatif
Sangat bagus,5,positif
SAMPAH SAYA SUDAH BELI AKUN NAMUN TIDAK BISA LOGIN😤,1,negatif
Penistaan agama islam,1,negatif
Ok,5,positif
Pokoke top,5,positif
ayo update movie yg banyak,5,positif
2 aja dulu,2,negatif
Pembayarannya bisa pake halo gak ya???,5,positif
KNP LAFADZ ALLAH DI TARO DI LANTAI????,1,negatif
saya rasa netflik harus mulai lebih update lagi tentang film film terbaru. jangan drakor terus yg di keluarin.. semoga komentar inj membuat netflix lebih baik lagi,5,positif
hebat gratis lagi,5,positif
Aplikasi bagus. Banyak pilihan film terbaik,5,positif
Gak bisa bayar pake pulsa,1,negatif
Aplikasi stuck di awal doang tidak bisa dibuka,1,negatif
"barusan download tapi kok gak bisa buat akun, ?",4,positif
Di ponsel tidakbisa mendapatkan grafik Hd lol,1,negatif
"Netflix saya layar nya hitam dan ngelek dan sudah cari bantuan tapi masih gak tolong saya main nya di HP pliss hilangkan masalah ini netflix, wifi saya udah lancar tapi masi sama aja layar hitam dan ngelek sudah matiin HP uninstall netflix dan udah cari bantuan di pengaturan di netflix tapi sama aja udah ngobrol sama titi tapi sama tolong plis tarik masalah ini",1,negatif
gg gaming,5,positif
bisalah harganya dikurangin cik gw lagi mode hemat nih,3,negatif
"Bodoh lah. Baru mau daftar malah langsung di suruh bayar. Mana nggak tau lagi nominal bayar,a berapa. Apk aneh",1,negatif
Saya setuju,5,positif
Tolong ubah dalam pembayaran dunk pakai Pulsa atau bayar ke indomaret alfamart kek lebih bs dijangkau... Masa harus pakai debit2 segala....klo mau laris gt knapa dibuat....,2,negatif
Pengeennn nonton drama nya...,5,positif
Da lah,1,negatif
RIBET .,1,negatif
Mantul,5,positif
Tolong dong mode pembayaran nya jangan cuma pake kartu kredit kasian gw kan gak punya kartu kredit gegaraa drakor Start-Up yg meresakan gw udh nonton 1 episode di aplikasi lain yg lebih murah ngpa jadi hilang tiba2 mentang2 lagi bagus tolong dengaan sangat yaa gw udh un dw lg un dw lagii tetap ajh gak berubah kudu pake kartu kredit🙄,1,negatif
hbis download gak bisa dbuka...jangan download...!!,1,negatif
Sangat bagus,5,positif
Masa gak bisa login,1,negatif
Buruk banget,1,negatif
Baguss,5,positif
Film nya bagus2 n keren,5,positif
Kenapa Netflix tiap mau nonton malah layarnya hitam😭. Mau berlangganan lagi takut sayang gak bisa nonton lagi trus sayang uangnya💔,1,negatif
Susah bgt utk masuk app nya,1,negatif
Ok,5,positif
BAYAR NYA MAHAL! GK MAU RUGI,1,negatif
Gak bisa ke buka,2,negatif
"Capek² download gopay, sudah di top upin malah tidak bisa berlangganan. Aplikasi apa sih Netflix ini, mending di hapus aja dari google play kalau gak berguna...",1,negatif
nda bisa nyambung ke serve,4,positif
"kepada admin netflix.. bagaimana saya mau berlangganan,saya gak punya kartu kredit,terpaksa di uninstall lagi.. tolong di tambah cara untuk pembayaran nya",1,negatif
Payah,1,negatif
Ngak bisa di buka aplikasi nx,1,negatif
"Super parah kali ini udah nenerapa hari ga bisa dibuka, cuman tampil tulisan netflix doang sampe 10menit bahkan sampe hapenya mati.",1,negatif
"mau daftar aja ribet , harus ke dana dulu , gagal terus lagi",1,negatif
Asik,5,positif
E bck c🤒🐂,5,positif
Mending bajakan/iklan dari pada bayar,1,negatif
Ok,5,positif
"Please netflix, takedown the umbrella academy 3, because one of the sin in the film there is an insult to our religion, by putting Allah's words on the floor, please take down!!!!!!",1,negatif
ketagihan sumpah!!,5,positif
Mantap,5,positif
Tolol,1,negatif
saya mendowload ini hanya untuk nonton teasing master takagi san dan tolong jangan mengecewakan saya,5,positif
Ok,5,positif
Good,5,positif
Gak bisa diakses?,1,negatif
"Sebenernya dari fitur, dll udah bagus banget netflix ini. Ada harga, ada pelayanan yang mevvah dan list film/drakor bejibun. Cuma kurangnya ya metode pembayarannya aja, buat yang bingung bisa beli akun sharing di sho*p** (alternatif). Nggak usah bandingin sama yang gratis dong ah, yang buat film juga pake biaya kok ^^. Mau mudah, makenya enak, ya wajar biayanya mahal. For netflix team, please fix your payment method. Not only card credit, is the big problem some of us. Thank you.",4,positif
Aplikasi taikkkkkk disuruh bayar ple,1,negatif
Bagus,5,positif
Film Mandarin kurang kumplit,4,positif
"Sedikit mahal tetapi lumayan bagus, walau film nya ga lengkap",3,negatif
Kok saya daftar gak bisa-bisa ya.,1,negatif
Kalo bikin apk minimal tidak usah menghina nama Allah!,1,negatif
Good very good,5,positif
Bagus,1,negatif
"Nonton film, drama, kartun, semua ada di netflix the best banget pokoknya ♡",5,positif
"Masak iyaa nggak bisa masukk udah di ganti kata santi nya tetap nggak bisa, entah apk nya yang salah entah apa yang salah nii",1,negatif
Lengkapin lg dong filmnya ud bagus banget nihh ak suka netflix :D,5,positif
Aplikasi babi gabisa di tonton selain daftar email beribu² kali,1,negatif
"Pendaftaran gak bs dilanjutkan, entah knp padahl semua udah sesuai, ribet ni aplikasi, klo hrs berbayar gak masalah buat aq, cm gk bs lanjut ini bikin mumet 👎👎👎👎👎 uninstal aja",1,negatif
Top,5,positif
Gak mau kebuka aplikasinya. Udah masuk loading tiba2 langsung ketutup aplikasinya,1,negatif
Gak bisa di buka aplikasinya,1,negatif
Good,5,positif
Aplikasi menonton film dan serial terbaik buat w..sudah ga ada lawan deh.. ..film dan serialnya banyak ga pelit kayak yg lainnnn..selalu ada film dan serial baru menonton jadi ga ngebosenin.. paling tambahin film2nya di full screen dong mi n..thanks netflix👍👍,5,positif
"Terimakasih sudah menambah pembayaran pakai DANA dan GoPay sehingga memudahkan sy berlangganan sekarang, biarpun ada beberapa film² yg tidak tersedia karena ada masalah copyright dengan publisher filmnya. Sebenarnya ini app bagus tapi bayarnya ribet harus pakai Kartu Kredit sehingga sy dulu tidak berlangganan. Sy sarankan lebih permudah pembayaran melalui indomart/alfamart.",5,positif
"Susah banget mau daftarnya, super ribet😓😓",1,negatif
Gak bisa masuk harus pake kartu kredit,1,negatif
Nice,5,positif
3 dulu baru lanjut lagi,3,negatif
The best,5,positif
Dh didownload tp ga bs dibuka🤪🤪🤪,1,negatif
Ok,5,positif
Satisfied,5,positif
"Sudah bagus dan tambahkan lagi dong filmnya serta perbaiki beberapa bug seperti pembelian member gagal dan harus beberapa kali coba baru berhasil, itu membuat saya kesal",5,positif
Endooooooooool,5,positif
Bagus......,5,positif
Good movie,5,positif
sabar atas ulasan ulasan pedasnya..trinkets kurang pnjng durasiny,5,positif
Bagus buat nonton anime,5,positif
"Bener² ya ni apk,bikin naik darah gabisa msukk padahal udh dftr😭",1,negatif
3 bintang dl,3,negatif
bagusss,5,positif
App edan....,1,negatif
Film film yg bagus dan kerennn,5,positif
Ok,5,positif
Kenapaa ga bisa sharing beda negara padahal sudah beli paket premium :'(,1,negatif
Ga kebuka sama sekali,1,negatif
Ok,5,positif
Kirain gratis... Fucek,1,negatif
ga bisa dibuka. kecewaaa quota habis ajaa😓😓😓,1,negatif
Ko sudah didownload ga bisa dibuka ?,1,negatif
Mentok pembayaran sat Kesel aing teh,1,negatif
"Kenapa bayarnya mesti ribet gini si,harus pake debit segala,alangkah baiknya kalo pake pulsa,atau gak lewat Indomaret atau Alfamart,untuk mempermudah yang gak pada punya kartu debit",2,negatif
Apk bangsad kontol login susah amat lagi tolong buat pihak play store hapus netflix,1,negatif
Waw,5,positif
Saya tidak bisa masuk padahal saya sudah memasukkan akun saya,1,negatif
MELECEHKAN AGAMA ISLAM,1,negatif
"Apk GK jelas, GK bisa daftar",1,negatif
Pelit gk ada gratisan gk kayak aplikasi lainya nyesel gue download,2,negatif
Kenapa susah benar bayar pakai gopay & Dana gagal mulu. Padahal sebelum belumnya lancar aja.,2,negatif
"udah masuk tapi harus berbayar dan harus masuk situs,harus log in lagi ribet banget",1,negatif
"hello Netflix, I hope the payment method is not only with a debit card, for example payment via credit. i want to watch ""13ReasonWhy"" season 3 but i don't have a debit card. please respond. Okay?",3,negatif
seperti di bioskop saja pilih yang mau di tonton dan di sukai film nya,5,positif
Bagus. Tapi filmnya kurang lengkap. Tiap film yg gw cari pasti nggak ada. Tolong diperbanyak lagi apalagi buat film-film jadul yg terkenal,3,negatif
"sejauh ini lancar,kualitas gambar bagus utk premium 4K",5,positif
Gak ada Video bokepnya gak seru,1,negatif
Susah bener bayarnya..,1,negatif
"Mantabjiwa lah, pokoke...",5,positif
Kontol,1,negatif
Coba dulu,4,positif
Udah bayar mahal.. tapi filmnya tidak lengkap seperti film2 Marvel dan film lainnya banyak yang tidak ada..,1,negatif
"Bagus Si Aplikasi nya,Terus dengan adanya streaming berbayar Secara tidak langsung Bisa Memfilter penonton Yang bener Open mindset",4,positif
Ngotak dikit lah coeg buat film,1,negatif
Bagus,5,positif
Enak kali nonton pake aplikasi ini.,5,positif
Aku lihat film Titanic bagus banget,5,positif
Mantap,5,positif
Baru coba :),5,positif
"Tolong ya,yg buat aplikasi nya Jagan bikin rumit orang yg pengen nonton,baru aja daftar dh gk bisa gimana sih gk jeles,udh gk usah download aplikasi jelek banget gk bagus",1,negatif
Ini gimana dah gw mau login ga bisa padahal sudah bayar,1,negatif
Tidak lengkap,2,negatif
Sering bug,2,negatif
Nyosssss,5,positif
Tadinya mau kasi bintang 5 tapi Krn masih ada beberapa serial dan film tidak tersedia di netflix jadi kasi 4 dulu ya netflix,4,positif
Berlayad,5,positif
babi,5,positif
Ribet gabisa masuk,1,negatif
"tolong bayarnya pake google play dong soalnya saldo saya sering saya masukin di google play... tolong di tingkatkan lagi,,makasih 🙏",4,positif
"parah banget nih, gra2 netflix tmn gw bales wa aja lama banget udh tau lgi penting...kesel banget gw",1,negatif
mengapa lama amat masuk nya.....,1,negatif
Good,5,positif
Aplikasi sampah,1,negatif
Ok..👍,5,positif
Sangat puas dg aplikasi ini,5,positif
Apk Ee,1,negatif
Aplikasi apalah ni gak bener hapus aja dari play store,1,negatif
Keren,5,positif
Like this,5,positif
oke,5,positif
Sangat bagus,5,positif
bagus,5,positif
ga bisa dibuka???,1,negatif
Bagus banget banyak filem anak anak 👧 👍👍👍💪🤞,5,positif
"udah bayar tapi pembayaran katanya gagal, tapi saldo gua berkurang, ni aplikasi gaada bantuan yak?",1,negatif
ini sangat memuaskan,5,positif
Coba dulu klo bgs bintangnya naik,4,positif
👎👎👎👎👎👎👎👎👎👎👎👎👎😭,1,negatif
Sumpah nyesel gw download,1,negatif
Aplikasi aneh nyesel downloadnya,1,negatif
Check,5,positif
"Baru download udah disuruh bayar, yaelahh cari duit gini amat loe ya. Belum juga liat isi nya udah disuruh bayar",1,negatif
"Apk lebih buruk dari anjingggggggggggggg, mending tutup aj ni apkk, g usah buka lg, bernick menghina nama panutan kami dan semoga ALLAH memblasa ap yg kalian lakukan aaamiiin",1,negatif
Good,5,positif
bagus,5,positif
"pengalaman paling buruk udah beli paket sebulan,720 kualitasnya tapi 10 hari lagi mau habis,nggak bisa lihat movie tulisan memuat terus, telpon cs 3 kali sudah buat semua tetap sama,udah pakai wifi internet,udah hapus install lagi,tidak bisa juga .telpon cs lagi hasil pun takda.. banyak tanya lagi cs, android berapa merek hp apa, jaringan apa...konyol,kalau Castmer udah membeli paket bulanan nggak perlu lagi mau telpon Cs tri/Telkomsel konyol aja...",1,negatif
"Spek hp kompetible, tapi setiap di putar ga bisa tampil. Hanya muncul audio saja. Sudah d hapus cache atau uninstal kemudian instal ulang ttp ga ngaruh. Ttp tidak bisa tampil film, hanya audio saja. Mohon segera d perbaiki appsnya...kita sudah langganan lama",1,negatif
Kontrol,5,positif
Nggk bisa login padahal kata sandi saya sudah benar,1,negatif
Secara keseluruhan iya,5,positif
Ok,5,positif
"Sudah habisin paket untuk streaming/download, di tambah harus berlangganan ? Pembodohan kan ? Haha",1,negatif
Gajelas,1,negatif
"Film The Umbrella 3 Academy tertulis lafalz Allah SWT dilantai itu sudah melecehkan agama Islam, #BOIKOTUMBRELLA3",1,negatif
Masi belum buka,5,positif
Aplikasi samvah,1,negatif
"Kenapa setelah di update,ketika nonton subtitle & durasi berjalan tapi visualnya blank.... Tidak ada visualnya Tolong perbaiki bug ini",5,positif
Gambar jelas..,4,positif
Subtitle nya sering error saat buka episode selanjutnya,3,negatif
Keren,3,negatif
Ok,5,positif
Good,5,positif
"sejak november 2023 ini untuk perangkat di TV sering gangguan, harus masukkan ulang akun. apakah update terbarunya ada masalah?",3,negatif
Bug System Login Account / Registrasi,1,negatif
"Kecewa sama aplikasi ini sudah melakukan pembayaran dan sudah ada pembayaran dengan menggunakan email yang sama ketika nelpon cs memberi informasi kemugkinan salah email , aplikasi perugi uang",1,negatif
"Gak bisa buka aplikasinya , wtf!!",1,negatif
Jelek g bis d buka,1,negatif
Lumanyan,5,positif
Apk tolol,1,negatif
"Perasaan dulu ngak gini-gini amat deh. Tolonglah apk nya jangan kayak gini. Kasian anak kost ngak ada duit buat bayar. Kita yang kaum bawah juga mau kali lihat hiburan seperti orang kaya, yang setiap kali pakai apk harus bayar. Cari duit ngak gini juga. Aplikasi ngak guna",1,negatif
It's good,5,positif
Sangat susah untuk di download dan putar film padahal Internet saya bagus,1,negatif
Need scissor seven season 5,1,negatif
1 tontonan 54.000?!! STUPID! mending nonton di VIU. 1)gimn cara melakukan pembayaran 2) untuk usia remaja dengan harga 54K ini ckup mahal! 3)MAHAL Jangan Bodoh!,1,negatif
Okay,5,positif
Aplikasi terburuk,1,negatif
makin kesini makin kesana...kadang gabisa play film padahal belom jatuh tempo,1,negatif
Asyik Nonton Bareng di Netflix,5,positif
Menuju sempurna,5,positif
Wah netflik skrg diblokir karena ada film dajal udh kontrofersi,1,negatif
saya sudah bayar tapi tidak bisa masuk.,1,negatif
Good,5,positif
Mantaf,4,positif
Nggak berguna apk ni,1,negatif
Jagan beli mahal baget,1,negatif
Blok bikin film kasih film yang ad lafadz Allah nya gblk netflix,1,negatif
"Woi Netflix aku tau ,aku pernah berlangganan sama kamu tapi aku GK tau kalau tiap bulan seterusnya bakal otomatis kepotong saldo ku,haram kali ya apk lu,sengaja private layar biar org GK tau caranya batalkan langganan bulanan ,aku dah search YouTube GK ada yg bener,pliss la jangan korupsi dengan cara halus,uang di shoppe ku itu juga butuh buat belanja kebutuhan sehari²,lagian apk lu filmnya GK lengkap sok mahal lagi ,pliss deh ya",1,negatif
Mantaaaap,5,positif
"Aplikasi keren, banyak fitur, mau nonton apa aja ada",5,positif
Apa episode dikit season dikit banyak Season yang dikit pokemon aja dikit apa lagi kartu,1,negatif
"Aku kasih dua bintang dulu, soalnya aku mau daftar ga bisa terus udah di coba lagi terus aja ke gitu ga bisa. Mohon di bantu dong NETFLIX",2,negatif
Asuuu kau yahh pntek alamat google padahal benner anjiing kau!!,1,negatif
Sangat bagus dan semuanya flim diaplikasi ini sangat bagus,4,positif
Gila seh,5,positif
😂,5,positif
Waaaaa ini als bagus banget,5,positif
"Daftar nya ribet, susah tinggal daftar doang aja ribet banget ga ikhlas ya bikin aplikasi",1,negatif
ribet,1,negatif
Subscribe nia bahasa indonesia,3,negatif
💗,5,positif
"Aku suka netflix tp sering bgt abis di instal trus di buka malah eror stlah di instal bisa di buka tapi setelah itu gak bisa di buka lagi. Tolong di perbaiki karena aplikasi ini berbayar, masa kesalahan berulang.",3,negatif
Jelek banget sih,1,negatif
Kalo bisa pulsa lebih niceee,3,negatif
Bagus,5,positif
Kalo nonton di tv selalu error,1,negatif
Gimana bos ? Kurang dari iklan ?,1,negatif
Deck deck,1,negatif
saran saya aplikasi ini anjing babi gabisa daftar lebih baik pindah ke viu,1,negatif
good..,5,positif
Seharusnya pihak netflix lebih teliti dalam memilih film,1,negatif
Waw,5,positif
Top markotop,5,positif
"Sekarang banyak kaum BL. jadi males nonton dinetflix. Drakorpun dah mulai mulai nih, kayanya ga bakalan nonton lagi nih",1,negatif
good aplication,5,positif
Bagus,5,positif
Asik benerŕr,5,positif
Di coba dl,3,negatif
"Konten-kontennya saya suka, cuman yang mengganjal SD card kenapa tak terbaca terus ya? di HP bisa, tolong pihak Netflix segera diperbaiki.",4,positif
Baik,5,positif
Bukan kawan2 yg mw beli account Netflix tinggal beli di olshop lebih simple and murah ... Selamat mencoba ....,5,positif
Bagus,5,positif
Cool,5,positif
Good,5,positif
"Hi Netfix,kenapa di akun saya nggak ada stranger things vol-2nya ? Udah langganan pas mau nonton kok nggak ada,udah saya log-out & log-in di akun saya ,tapi tetap tdk bisa,tolong segera di jawab !! Makasih 🙏🏼",2,negatif
Mantaps,5,positif
Gk busa dibuka ini udah ke2 kalinya aku mbuka gk bisa- bisa 😠😠😠😠😠😠😠😠😠😠😠😠,1,negatif
Klo saran saya gk usah pake bayar kan udh di download pke kuota masa harus bayar lgi,1,negatif
"Gk suka gelayyyy... Bru masuk langsung d tawarin debit, ini kampung mn lh ada",1,negatif
Aplikasi suka ngecrash tidak direkomendasikan,1,negatif
Good,5,positif
Bagus,5,positif
Tidak bisa di dowload,1,negatif
Mayan sih,5,positif
"tolong untuk Netflix kasih pilihan langganan 6 bulan atau 1 tahun, jangan hanya 1 bulan saja",5,positif
Aplikasi setan,1,negatif
"TOLONG DONG INI KENAPA SETIAP LANJUT NONTON KOK LAMA BGT,PADAHAL JARINGANYA BAGUSS😡😡😡😤😤😤",2,negatif
aplikasi gajelas woy grgr ini aplikasi jadi gue yg kena ngambek ama cewe,1,negatif
Apk yang bagus Saya menyukai apk ini,5,positif
Selalu terbaik,5,positif
"Ga bisa di buka, apaan dah gj",1,negatif
Apk apaan nih gax jelas,1,negatif
Lumayan bagus,5,positif
Ga jelas,5,positif
Belum di coba,5,positif
Bagus bnget,5,positif
MINIMAL NGOTAK SEDIKIT DEK,1,negatif
"For the first one, why can't I watch a movie even though I have a subscription on my cellphone and I'm a bit disappointed for this and every time I want to watch it always says ""Almost Works""",1,negatif
terbaikk,5,positif
Senang,5,positif
Kenapa netflix pelit bgt nga ada film yg gratiss,3,negatif
Mntul,5,positif
mantab djiwa,5,positif
jelek sering lag udh dibayar tapi GK bisa dipake jelekkkkk,5,positif
Kalau bisa di tambahain fitur bar untuk volume di kanan layar. Jadi kita bisa gampang atur volume tanpa harus memencet tombolnya di handphone,4,positif
"Metode pembayaran sangat menyulitkan, dari metode lama ingin diubah ke dompet digital gagal terus.",2,negatif
Uninstall karena review jelek,1,negatif
Aplikasi ampas gak guna anjing mau daftar aja susah telaso sok menjaga serverr tai apk sampah sok sok jaga server biar aman halahh basi tau gak anjg,1,negatif
isss kok ada notif tidak bisa menjangkau.. apaan?,1,negatif
Bagus,4,positif
"Ya silahkan anda download apk ini, bagus kok kalo mau liat tulisan netflix doang dijamin deh, trs untuk kalian yang pengen liat film film bagus dan (maaf) ekonomi nya kurang mending nggak usah pake ini aplikasi, kalian bakalan nyesel udah download tapi ntar suruh langganan dulu, ya emang bikin apk itu gk gampang tapi ya maklumi kami rakyat (Maaf) miskin lah, makasih ya developer udah bikin aplikasi sebagus ini, saya kasih bintang 5 karena saya memberi apresiasi karena kalian udah buat apk ini",5,positif
"50rb sebulan filmnya keren2, kualitas videonya jg uda bagus kok walau engga full HD. mungkin jeleknya ga bisa ngatur setting pas nonton film jadi begitu koneksinya lelet gambar tiba2 buram.",5,positif
I think its gud 🗿,1,negatif
Ok,5,positif
Sudah berlangganan.. provider pakai xl tp kok msh ga bsa log in yah.. kenapa ini pdhal udh bayar,2,negatif
Udah bayar banyak film yang ga ada masih mending apk sebelah ga bayar tapi banyak film nya,1,negatif
Aplikasi orang kaya gak cocok buat saya.... Ga punya kartu kredit...,1,negatif
Jelek,1,negatif
"I have downloaded, but I couldn't open it... Could you give me some advice or informations please? I am in Indonesia... I would like to give apreciated if you will give me fast respons as you can do...",5,positif
Mau daftar aja ribet banget gagal terus ini aplikasi apaan sih mau nonton aja seribet ini sumpah jengkel banget kecewa banget aku udah download ini 😬😬jengkel Banget anjir,1,negatif
Meh,1,negatif
daftar pake debit bni nggk bisa knp ya? apk nangkring di hp tp nggk bisa dipake pdhl klopun hrus bayar sih ku fine aja adakah cara lain selain pke kartu kredit 😪,1,negatif
bad apps! chuakkzzzz🤮,1,negatif
"saya kira bisa liat-liat dulu dalemnya, ternyata ga bisa. mana ribet banget buat acc dulu trus keluar apk lanjutnya di web. mohon maaf, tidak rekomen.",1,negatif
Bayar,1,negatif
Noic,5,positif
mantap wkwkwkwkwkkwk,1,negatif
Guoookil le,5,positif
